
"NAM"	"DAT"	"PERIOD"	"КАТО(по отчету)"	"LКАТО(по отчету)"	"ГОКЭД(по каталогу)02"	"LГОКЭД(по каталогу)02"	"ГЗВ"	"LГЗВ"	"VAL"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Добыча прочих полезных ископаемых"	"235"	"Всего"	"1"	"616 857 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство продуктов питания"	"265"	"Всего"	"1"	"579 897 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство напитков"	"356"	"Всего"	"1"	"831 461 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство табачных изделий"	"386"	"Всего"	"1"	"54 383 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство текстильных изделий"	"399"	"Всего"	"1"	"41 403 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство одежды"	"459"	"Всего"	"1"	"48 160 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство кожаной и относящейся к ней продукции"	"513"	"Всего"	"1"	"9 718 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство деревянных и пробковых изделий, кроме мебели; производство изделий из соломки и материалов для плетения"	"626"	"Всего"	"1"	"41 647 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство бумаги и бумажной продукции"	"653"	"Всего"	"1"	"197 796 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Полиграфическая деятельность и воспроизведение записанных носителей информации"	"762"	"Всего"	"1"	"27 418 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство кокса и продуктов нефтепереработки"	"802"	"Всего"	"1"	"173 081 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство продуктов химической промышленности"	"830"	"Всего"	"1"	"149 793 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство основных фармацевтических продуктов и фармацевтических препаратов"	"915"	"Всего"	"1"	"74 602 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство резиновых и пластмассовых изделий"	"945"	"Всего"	"1"	"218 742 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство прочей не металлической минеральной продукции"	"1006"	"Всего"	"1"	"1 583 971 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Металлургическое производство"	"1095"	"Всего"	"1"	"2 484 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство готовых металлических изделий, кроме машин и оборудования"	"1206"	"Всего"	"1"	"237 611 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство компьютеров, электронного и оптического оборудования"	"1282"	"Всего"	"1"	"297 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство электрического оборудования"	"1412"	"Всего"	"1"	"177 600 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство машин и оборудования, не включенных в другие группировки "	"1506"	"Всего"	"1"	"13 718 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство мебели"	"1845"	"Всего"	"1"	"39 855 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Производство прочих готовых изделий"	"1893"	"Всего"	"1"	"117 654 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Ремонт и установка машин и оборудования"	"1941"	"Всего"	"1"	"97 321 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Строительство зданий"	"2237"	"Всего"	"1"	"249 981 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Строительство зданий"	"2237"	"Всего"	"1"	"328 657 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Гражданское строительство"	"2253"	"Всего"	"1"	"10 882 011 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Гражданское строительство"	"2253"	"Всего"	"1"	"14 330 339 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Специализированные строительные работы"	"2280"	"Всего"	"1"	"132 360 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Специализированные строительные работы"	"2280"	"Всего"	"1"	"139 070 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт"	"2320"	"Всего"	"1"	"2 708 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт"	"2320"	"Всего"	"1"	"2 528 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Оптовая торговля, за исключением торговли автомобилями и мотоциклами"	"2415"	"Всего"	"1"	"657 904 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Оптовая торговля, за исключением торговли автомобилями и мотоциклами"	"2415"	"Всего"	"1"	"646 784 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Розничная торговля, кроме торговли автомобилями и мотоциклами"	"2564"	"Всего"	"1"	"383 561 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Розничная торговля, кроме торговли автомобилями и мотоциклами"	"2564"	"Всего"	"1"	"1 024 177 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность сухопутного и трубопроводного транспорта "	"2731"	"Всего"	"1"	"1 574 358 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность сухопутного и трубопроводного транспорта "	"2731"	"Всего"	"1"	"2 232 283 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность воздушного транспорта "	"2802"	"Всего"	"1"	"9 243 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность воздушного транспорта "	"2802"	"Всего"	"1"	"9 510 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Складирование грузов и вспомогательная транспортная деятельность"	"3003"	"Всего"	"1"	"407 974 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Складирование грузов и вспомогательная транспортная деятельность"	"3003"	"Всего"	"1"	"244 952 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Почтовая и курьерская деятельность"	"3130"	"Всего"	"1"	"98 845 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Почтовая и курьерская деятельность"	"3130"	"Всего"	"1"	"375 877 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Предоставление услуг по временному проживанию"	"3137"	"Всего"	"1"	"16 329 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Предоставление услуг по временному проживанию"	"3137"	"Всего"	"1"	"22 132 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Предоставление услуг по обеспечению питанием и напитками"	"3199"	"Всего"	"1"	"3 153 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Телекоммуникации"	"3288"	"Всего"	"1"	"14 450 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Телекоммуникации"	"3288"	"Всего"	"1"	"16 458 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность в области информационного обслуживания"	"3368"	"Всего"	"1"	"14 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность в области информационного обслуживания"	"3368"	"Всего"	"1"	"14 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Финансовое посредничество, кроме страхования и пенсионного обеспечения"	"3411"	"Всего"	"1"	"101 644 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Финансовое посредничество, кроме страхования и пенсионного обеспечения"	"3411"	"Всего"	"1"	"11 518 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Операции с недвижимым имуществом"	"3539"	"Всего"	"1"	"1 290 409 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Операции с недвижимым имуществом"	"3539"	"Всего"	"1"	"1 216 530 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность головных компаний; консультирование по вопросам управления "	"3576"	"Всего"	"1"	"1 788 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность головных компаний; консультирование по вопросам управления "	"3576"	"Всего"	"1"	"11 902 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность в области архитектуры, инженерных изысканий, технических испытаний и анализа"	"3609"	"Всего"	"1"	"74 848 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность в области архитектуры, инженерных изысканий, технических испытаний и анализа"	"3609"	"Всего"	"1"	"78 977 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Научные исследования и разработки"	"3670"	"Всего"	"1"	"8 906 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Научные исследования и разработки"	"3670"	"Всего"	"1"	"4 933 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Рекламная деятельность и исследование конъюнктуры рынка"	"3720"	"Всего"	"1"	"549 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Рекламная деятельность и исследование конъюнктуры рынка"	"3720"	"Всего"	"1"	"4 500 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Прочая профессиональная, научная и техническая деятельность"	"3739"	"Всего"	"1"	"22 395 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Прочая профессиональная, научная и техническая деятельность"	"3739"	"Всего"	"1"	"21 639 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Ветеринарная деятельность"	"3827"	"Всего"	"1"	"11 322 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Ветеринарная деятельность"	"3827"	"Всего"	"1"	"9 947 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Аренда, прокат и лизинг"	"3868"	"Всего"	"1"	"23 944 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность туристских агентств и операторов, бронирование и сопутствующая деятельность"	"3922"	"Всего"	"1"	"3 816 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность туристских агентств и операторов, бронирование и сопутствующая деятельность"	"3922"	"Всего"	"1"	"3 122 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность по обслуживанию зданий и благоустройству территорий"	"3971"	"Всего"	"1"	"4 005 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность по обслуживанию зданий и благоустройству территорий"	"3971"	"Всего"	"1"	"7 796 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность в области офисного административного и вспомогательного обслуживания, направленная на поддержание коммерческой деятельности"	"3985"	"Всего"	"1"	"4 569 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность в области офисного административного и вспомогательного обслуживания, направленная на поддержание коммерческой деятельности"	"3985"	"Всего"	"1"	"8 665 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Государственное управление и оборона; обязательное социальное обеспечение"	"4006"	"Всего"	"1"	"2 373 681 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Государственное управление и оборона; обязательное социальное обеспечение"	"4006"	"Всего"	"1"	"2 528 302 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Образование"	"4034"	"Всего"	"1"	"1 315 096 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Образование"	"4034"	"Всего"	"1"	"1 194 109 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность в области здравоохранения"	"4101"	"Всего"	"1"	"728 832 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность в области здравоохранения"	"4101"	"Всего"	"1"	"628 087 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Предоставление социальных услуг с обеспечением проживания"	"4120"	"Всего"	"1"	"29 527 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Предоставление социальных услуг с обеспечением проживания"	"4120"	"Всего"	"1"	"35 167 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Предоставление социальных услуг без обеспечения проживания"	"4136"	"Всего"	"1"	"5 802 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Предоставление социальных услуг без обеспечения проживания"	"4136"	"Всего"	"1"	"5 472 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность библиотек, архивов, музеев и прочая деятельность в области культуры"	"4170"	"Всего"	"1"	"60 551 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность библиотек, архивов, музеев и прочая деятельность в области культуры"	"4170"	"Всего"	"1"	"77 680 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность по организации азартных игр и заключению пари "	"4209"	"Всего"	"1"	"30 854 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность по организации азартных игр и заключению пари "	"4209"	"Всего"	"1"	"26 092 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность в области спорта, организации отдыха и развлечений"	"4286"	"Всего"	"1"	"106 864 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность в области спорта, организации отдыха и развлечений"	"4286"	"Всего"	"1"	"161 703 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность общественных объединений (организаций)"	"4323"	"Всего"	"1"	"14 034 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Деятельность общественных объединений (организаций)"	"4323"	"Всего"	"1"	"21 937 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Ремонт компьютеров, предметов личного потребления и бытовых товаров"	"4341"	"Всего"	"1"	"1 554 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Предоставление прочих индивидуальных услуг"	"4374"	"Всего"	"1"	"27 903 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Предоставление прочих индивидуальных услуг"	"4374"	"Всего"	"1"	"12 174 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Сельское, лесное и рыбное хозяйство"	"4412"	"Всего"	"1"	"529 769 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2013 год"	"201312"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Сельское, лесное и рыбное хозяйство"	"4412"	"Всего"	"1"	"455 870 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Сельское, лесное и рыбное хозяйство"	"4412"	"Всего"	"1"	"557 156 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Сельское, лесное и рыбное хозяйство"	"4412"	"Всего"	"1"	"487 160 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Горнодобывающая промышленность и разработка карьеров"	"4414"	"Всего"	"1"	"751 039 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2013 год"	"201312"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Горнодобывающая промышленность и разработка карьеров"	"4414"	"Всего"	"1"	"452 913 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Горнодобывающая промышленность и разработка карьеров"	"4414"	"Всего"	"1"	"626 041 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Горнодобывающая промышленность и разработка карьеров"	"4414"	"Всего"	"1"	"727 019 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Обрабатывающая промышленность"	"4415"	"Всего"	"1"	"5 141 175 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2013 год"	"201312"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Обрабатывающая промышленность"	"4415"	"Всего"	"1"	"4 468 178 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Обрабатывающая промышленность"	"4415"	"Всего"	"1"	"4 718 612 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Обрабатывающая промышленность"	"4415"	"Всего"	"1"	"4 753 453 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом"	"4421"	"Всего"	"1"	"21 651 623 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2013 год"	"201312"	"АЛМАТИНСКАЯ ОБЛАСТЬ"	"2898"	"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом"	"4421"	"Всего"	"1"	"52 563 452 000.000"
